,First Name,Last Name,ID,Documents,Cited By,Preprints,Coauthor,Topics,Awarded Grants,Category,Primary Affiliation,Secondary Affiliations,max_cite,pub_div,recent_3,academic_age,h_index
199,Jian-Qiang,Wang,56132836000,328,5308,0,158,26,0,Computer Science,"Central South University, China Mainland",,268.0,82,71,23,64
200,Jing,Wang,56008058700,145,1685,0,96,19,1,Computer Science,"Central South University, China Mainland","Central South University of Forestry & Technology, China Mainland",370.0,81,16,25,16
201,Zidong,Wang,55810114200,824,21800,0,347,65,0,Computer Science,"Brunel University, United Kingdom",,1540.0,175,71,28,125
202,Qinglai,Wei,23092563300,269,3437,0,171,13,0,Computer Science,"Chinese Academy of Sciences, China Mainland",,407.0,77,55,17,48
203,Ligang,Wu,55505897200,417,11194,2,231,45,0,Computer Science,"Harbin Institute of Technology, China Mainland",,585.0,107,68,17,76
204,Zheng-Guang,Wu,24466004700,268,7271,1,169,24,0,Computer Science,"Zhejiang University, China Mainland",,509.0,63,59,16,64
205,Meimei,Xia,27968229400,63,3505,0,25,8,0,Computer Science,"Beijing Jiaotong University, China Mainland",,1217.0,36,8,13,31
206,Bin,Xu,57191205532,166,2929,2,237,31,0,Computer Science,"Northwestern Polytechnical University, China Mainland",,282.0,79,62,18,35
207,Zeshui,Xu,55502698400,889,15656,3,395,47,0,Computer Science,"Sichuan University, China Mainland",,1912.0,123,289,23,117
208,Laurence T.,Yang,7406280812,930,12627,0,1574,100,0,Computer Science,"Saint Francis Xavier University - Canada, Canada",,638.0,298,7,26,68
209,Xin-She,Yang,35754063200,364,21420,16,607,36,0,Computer Science,"Middlesex University, United Kingdom",,4974.0,171,20,30,73
210,Yi,Yang,56159216600,314,13128,3,409,46,0,Computer Science,"University of Technology Sydney, Australia",,1067.0,78,70,17,79
211,Yiyu,Yao,7403567566,364,8452,0,247,12,0,Computer Science,"University of Regina, Canada",,856.0,112,1,35,68
212,F. Richard,Yu,57213980384,735,14871,3,642,77,0,Computer Science,"Carleton University, Canada",,531.0,173,161,22,75
213,Yong,Zeng,36976852800,124,6149,59,99,11,0,Computer Science,"Southeast University - China, China Mainland",,1951.0,51,37,12,42
214,Zhigang,Zeng,35316687300,362,6283,0,233,46,0,Computer Science,"Huazhong University of Science & Technology, China Mainland",,411.0,104,47,20,62
215,Haijun,Zhang,57189345966,297,5667,18,432,64,0,Computer Science,"University of Science & Technology Beijing, China Mainland",,633.0,93,90,13,40
216,Hong-yu,Zhang,36601805500,119,3501,0,83,20,0,Computer Science,"Central South University, China Mainland",,268.0,54,20,15,50
217,Huaguang,Zhang,56122851800,1151,15227,3,545,66,0,Computer Science,"Northeastern University - China, China Mainland",,662.0,210,242,34,78
218,Qingfu,Zhang,7406718367,290,11627,25,332,23,0,Computer Science,"City University of Hong Kong, Hong Kong",,5075.0,105,59,27,55
219,Rui,Zhang,55729156200,502,22359,163,269,29,0,Computer Science,"National University of Singapore, Singapore",,2029.0,91,105,29,107
220,Yin,Zhang,55975581400,153,446,1,93,26,0,Computer Science,"University of Electronic Science & Technology of China, China Mainland",,145.0,29,56,11,14
221,Quan,Zou,23391564900,355,5968,9,574,56,0,Computer Science,"University of Electronic Science & Technology of China, China Mainland",,481.0,135,132,15,63
222,Yici,Cai,7401750332,388,2236,1,244,13,0,Computer Science,"Tsinghua University, China Mainland",,284.0,97,7,27,24
223,Jianhua,Feng,7403884576,189,3577,0,166,16,0,Computer Science,"Tsinghua University, China Mainland",,385.0,52,7,22,38
224,Ling,Feng,57209023943,180,1545,3,147,17,0,Computer Science,"Tsinghua University, China Mainland",,125.0,98,16,24,25
225,Guoliang,Li,55800543300,279,4128,15,303,34,0,Computer Science,"Tsinghua University, China Mainland",,328.0,54,67,17,48
226,Juanzi,Li,8304332600,286,5302,39,351,20,0,Computer Science,"Tsinghua University, China Mainland",,1293.0,101,30,23,36
227,Jie,Tang,26667745200,403,9681,72,725,53,0,Computer Science,"Tsinghua University, China Mainland",,1293.0,139,53,24,56
228,Jianyong,Wang,57208873256,151,7537,10,156,12,0,Computer Science,"Tsinghua University, China Mainland",,1362.0,72,18,25,39
229,Yongwei,Wu,8417507400,175,1608,1,263,19,0,Computer Science,"Tsinghua University, China Mainland",,109.0,88,6,19,24
230,Wenwu,Zhu,7404232311,377,9397,48,481,53,0,Computer Science,"Tsinghua University, China Mainland",,1446.0,125,54,32,54
231,Peng,Cui,34568700100,185,5036,53,304,37,0,Computer Science,"Tsinghua University, China Mainland",,1446.0,72,50,16,38
232,Maosong,Sun,7403180987,292,7709,121,344,0,0,Computer Science,"Tsinghua University, China Mainland",,1352.0,123,69,25,48
233,Jun,Zhu,56734692500,215,4835,135,250,46,0,Computer Science,"Tsinghua University, China Mainland",,639.0,89,44,17,41
234,Zhiyuan,Liu,57191691341,193,6943,135,292,27,0,Computer Science,"Tsinghua University, China Mainland",,1352.0,93,75,14,45
235,Jianping,Wu,7409251457,747,4444,4,594,65,0,Computer Science,"Tsinghua University, China Mainland",,104.0,266,39,27,34
236,Mingsheng,Long,36986782000,84,5379,47,82,10,0,Computer Science,"Tsinghua University, China Mainland",,1735.0,34,25,12,37
